Index,Box,Regional
1,294,7489
2,444,7487
3,494,7488
4,610,7088
5,733,7482
6,768,7175
7,814,7086
8,986,7087
9,995,6677
10,1049,7174
11,1362,6659
12,1366,7077
13,1381,7076
14,1388,6771
15,1399,6676
16,1400,6675
17,1413,6773
18,1557,6770
19,1742,6215
20,1762,5328
21,1763,4866
22,1764,4842
23,1791,6236
24,1858,6658
25,1864,5775
26,1868,3926
27,1869,4373
28,1872,4374
29,1873,4376
30,1979,3490
31,1984,5330
32,1985,4841
33,1987,5312
34,1991,3489
35,1992,3492
36,2004,6656
37,2014,6325
38,2020,6324
39,2043,6327
40,2050,6326
41,2061,6767
42,2082,6657
43,2093,5776
44,2094,3927
45,2096,4377
46,2104,3079
47,2105,3491
48,2106,3493
49,2108,3928
50,2195,3078
51,2196,2682
52,2199,6213
53,2215,4378
54,2219,4843
55,2227,3494
56,2230,3929
57,2259,6323
58,2317,2345
59,2319,2344
60,2320,3080
61,2349,3495
62,2460,2684
63,2464,2027
64,2467,1706
65,2468,3082
66,2472,6210
67,2488,4379
68,2490,4844
69,2493,5765
70,2494,5313
71,2500,3930
72,2535,6321
73,2617,1703
74,2618,2026
75,2619,1704
76,2620,2346
77,2621,2685
78,2624,1401
79,2636,6212
80,2654,3497
81,2720,6322
82,2746,8012
83,2785,2028
84,2792,1400
85,2793,1101
86,2794,1707
87,2798,3083
88,2817,4380
89,2819,4845
90,2823,5314
91,2828,3932
92,2838,6211
93,2845,5882
94,2851,6208
95,2863,5881
96,2895,6319
97,2961,2347
98,2964,2686
99,2965,2030
100,2966,1100
101,2968,1402
102,2970,821
103,2971,820
104,2972,818
105,2973,819
106,2974,817
107,2992,5766
108,3001,3498
109,3059,5883
110,3112,571
111,3159,1708
112,3162,1103
113,3165,1102
114,3166,823
115,3167,3084
116,3175,6209
117,3185,4381
118,3187,4846
119,3189,5315
120,3193,3931
121,3199,5880
122,3305,7662
123,3308,570
124,3310,362
125,3312,307
126,3354,2349
127,3356,2687
128,3357,2031
129,3358,1403
