node,x,y,rain_olf
1,476368.09375,6390684.5,0.0
2,476352.376854,6390956.505671,0.0
3,476296.78125,6390287.5,0.0
4,475782.328396,6369730.498135,0.0
5,476476.375,6389584.0,0.0
6,476512.264944,6391219.979868,0.0
7,476462.691509,6390843.260323,0.0
8,476536.190618,6391025.209914,0.0
9,476455.419385,6390403.530481,0.0
10,476642.478988,6390343.216009,0.0
11,476552.0625,6390681.5,0.0
12,476271.375,6390472.5,0.0
13,476279.90625,6390816.0,0.0
14,476122.625,6390701.0,0.0
15,476245.092368,6391373.608215,0.0
16,476207.670128,6391173.024016,0.0
17,476194.807933,6390969.384606,0.0
18,476104.24881,6390400.537907,0.0
19,476375.625,6390116.5,0.0
20,476070.976867,6390141.440555,0.0
21,476047.984687,6391661.281607,0.0
22,476258.202078,6389496.17095,0.0
23,476465.1875,6389384.5,0.0
24,476454.0,6389185.0,0.0
25,476460.747598,6388945.35734,0.0
26,475772.047206,6369897.354893,0.0
27,475830.553218,6370137.626814,0.0
28,475698.571823,6369599.362213,0.0
29,475700.941138,6369699.439562,0.0
30,475709.901773,6369802.363664,0.0
31,475778.452416,6369634.017955,0.0
32,475763.518911,6369533.326416,0.0
33,475831.693071,6369981.821442,0.0
34,475881.320728,6370063.362331,0.0
35,475919.133427,6370157.437036,0.0
36,475810.67645,6369820.479625,0.0
37,475863.657299,6369662.458859,0.0
38,475869.318232,6369749.581507,0.0
39,475871.5697,6369901.0798,0.0
40,474159.518015,6367022.682353,0.0
41,474163.908607,6366954.202502,0.0
42,476527.112002,6391554.932075,0.0
43,476702.65919,6391379.34563,0.0
44,476521.115307,6391890.159545,0.0
45,476139.552745,6392075.455188,0.0
46,475847.953125,6392501.5,0.0
47,476594.065588,6388587.33955,0.0
48,476686.34375,6388944.0,0.0
49,476605.375,6389118.5,0.0
50,476740.905804,6389282.38775,0.0
51,476649.157291,6389474.247083,0.0
52,476487.5625,6389783.5,0.0
53,476480.5625,6389980.0,0.0
54,476712.337492,6389670.831452,0.0
55,476770.21338,6390127.749771,0.0
56,476816.002222,6391158.436662,0.0
57,476900.065834,6390341.946211,0.0
58,476715.125,6390790.0,0.0
59,476754.308028,6390554.330903,0.0
60,475741.883919,6369436.058625,0.0
61,475677.389709,6369494.798351,0.0
62,474114.734663,6367004.505667,0.0
63,474135.342647,6367048.223529,0.0
64,475620.924832,6368474.362135,0.0
65,475632.881294,6368566.586398,0.0
66,475536.467528,6368426.288272,0.0
67,474070.27198,6366985.558103,0.0
68,473989.722572,6366951.663768,0.0
69,473902.827409,6366927.359908,0.0
70,473544.408942,6366622.490553,0.0
71,473586.542079,6366697.37641,0.0
72,473453.287881,6366630.020933,0.0
73,473363.817313,6366635.086467,0.0
74,473268.701791,6366623.769001,0.0
75,472999.585227,6366653.4,0.0
76,475954.890966,6370247.829394,0.0
77,475999.75,6390549.5,0.0
78,476049.965629,6390870.443877,0.0
79,475919.557774,6390740.119654,0.0
80,475977.898247,6391319.674655,0.0
81,476041.4965,6391054.614681,0.0
82,475925.3125,6390367.5,0.0
83,475813.03125,6390217.5,0.0
84,476201.256583,6389871.675489,0.0
85,475887.566071,6389994.850995,0.0
86,476001.312202,6389532.700911,0.0
87,475685.998256,6391523.531781,0.0
88,475768.526405,6391869.873284,0.0
89,475470.320313,6392220.75,0.0
90,476402.923134,6388727.293593,0.0
91,476123.160967,6389303.616375,0.0
92,476221.980491,6389058.550721,0.0
93,476572.192977,6388240.185552,0.0
94,476331.76094,6388429.60014,0.0
95,475736.755432,6369982.451378,0.0
96,475778.333068,6370061.51441,0.0
97,475744.824278,6370148.335079,0.0
98,475680.526228,6369894.027514,0.0
99,475652.474722,6369983.72123,0.0
100,475841.917673,6370223.215712,0.0
101,475889.366577,6370300.762195,0.0
102,475621.886441,6369563.536056,0.0
103,475619.98978,6369654.411306,0.0
104,475620.117882,6369746.392175,0.0
105,475607.947589,6369832.463593,0.0
106,473175.4809,6366601.179525,0.0
107,473499.502422,6366544.483085,0.0
108,473414.483314,6366554.831995,0.0
109,473322.073463,6366556.95537,0.0
110,473232.060657,6366538.814814,0.0
111,473121.314827,6366600.282457,0.0
112,473023.778409,6366628.1,0.0
113,473047.971591,6366602.8,0.0
114,472921.995536,6366688.928571,0.0
115,472945.923363,6366663.940476,0.0
116,472969.85119,6366638.952381,0.0
117,472993.779018,6366613.964286,0.0
118,475850.237973,6369567.567407,0.0
119,475834.245298,6369470.928972,0.0
120,475818.19706,6369379.167021,0.0
121,475794.740797,6369298.603019,0.0
122,476038.130646,6370328.9068,0.0
123,476042.223114,6370241.264639,0.0
124,476008.8946,6370155.528419,0.0
125,475931.974276,6369982.80994,0.0
126,475975.833587,6370067.576908,0.0
127,475913.756141,6369820.882666,0.0
128,475937.319043,6369606.553701,0.0
129,475949.974738,6369711.009943,0.0
130,475970.954487,6369901.626224,0.0
131,475805.489384,6369215.016601,0.0
132,475644.201706,6368656.013006,0.0
133,475661.063278,6368929.918395,0.0
134,475669.14756,6368835.307758,0.0
135,475658.57874,6368745.576219,0.0
136,475738.814604,6368977.988446,0.0
137,475721.852201,6368604.124411,0.0
138,475709.326364,6368511.335377,0.0
139,475509.667207,6368332.850165,0.0
140,475460.734619,6368248.499551,0.0
141,475611.584112,6368383.284332,0.0
142,475696.390045,6368419.104729,0.0
143,475414.559515,6368166.138407,0.0
144,474180.1875,6367045.666667,0.0
145,474205.09375,6367019.277778,0.0
146,474183.693382,6366997.141176,0.0
147,474207.86875,6366971.6,0.0
148,474232.044118,6366946.058824,0.0
149,474214.803522,6366905.528279,0.0
150,473791.540324,6366814.323127,0.0
151,473878.518182,6366836.543989,0.0
152,473966.192551,6366860.467655,0.0
153,473544.713493,6366471.701991,0.0
154,473596.172776,6366547.99413,0.0
155,473641.736321,6366624.298444,0.0
156,473677.891725,6366706.813313,0.0
157,473765.47787,6366723.142918,0.0
158,474125.394011,6366926.783659,0.0
