node,x,y,concentration
1,471937.4375,6369422,0
2,472541.1769,6369929.966,0
3,472541.295,6369931.197,0
4,471984.1651,6369419.965,0
5,471971.8445,6369385.556,0
6,471973.8604,6369456.234,0
7,472539.9038,6369929.884,0
8,472538.9127,6369930.687,0
9,472542.3745,6369930.274,0
10,472540.6485,6369928.848,0
11,472542.0696,6369928.887,0
12,472536.3604,6369933.024,0
13,472542.497,6369931.51,0
14,472540.4222,6369932.771,0
15,472538.4174,6369933.316,0
16,472016.2812,6369452.682,0
17,472025.5353,6369416.501,0
18,472015.957,6369382.439,0
19,472006.2515,6369349.113,0
20,472010.2833,6369490.468,0
21,472050.4642,6369479.105,0
22,472539.655,6369928.06,0
23,472538.121,6369928.929,0
24,472536.368,6369929.732,0
25,472533.8897,6369930.848,0
26,472542.8764,6369929.692,0
27,472543.5315,6369932.08,0
28,472543.2603,6369930.53,0
29,472541.1977,6369927.944,0
30,472542.8191,6369928.925,0
31,472542.6148,6369928.203,0
32,472543.5592,6369929.339,0
33,472540.5198,6369927.132,0
34,472533.5647,6369934.764,0
35,472530.4011,6369932.433,0
36,472536.5036,6369936.371,0
37,472542.0201,6369933.599,0
38,472540.0955,6369934.541,0
39,472544.3787,6369934.435,0
40,472058.7435,6369435.885,0
41,472059.0636,6369390.64,0
42,472051.9455,6369350.167,0
43,472040.6585,6369312.669,0
44,472046.7061,6369524.702,0
45,472081.9346,6369505.085,0
46,472090.0222,6369458.898,0
47,472538.7986,6369927.124,0
48,472537.0289,6369927.489,0
49,472535.2364,6369927.26,0
50,472530.6337,6369928.828,0
51,472527.3712,6369927.276,0
52,472523.8949,6369929.29,0
53,472544.0398,6369930.038,0
54,472544.7059,6369931.954,0
55,472544.1493,6369931.074,0
56,472539.6681,6369925.161,0
57,472542.1421,6369927.467,0
58,472543.4375,6369928.5,0
59,472543.2199,6369927.815,0
60,472544.3483,6369928.796,0
61,472544.9495,6369929.605,0
62,472541.6934,6369925.873,0
63,472542.5977,6369926.479,0
64,472546.2152,6369932.187,0
65,472537.6039,6369939.991,0
66,472534.0612,6369938.663,0
67,472529.2602,6369937.293,0
68,472525.6853,6369933.89,0
69,472545.9726,6369933.863,0
70,472539.3792,6369937.508,0
71,472542.289,6369936.586,0
72,472544.4577,6369936.602,0
73,472094.3424,6369410.82,0
74,472093.5283,6369362.881,0
75,472087.8552,6369317.344,0
76,472075.0655,6369276.226,0
77,472109.4725,6369239.782,0
78,472083.129,6369558.935,0
79,472112.3416,6369525.755,0
80,472121.5841,6369482.104,0
81,472126.8586,6369435.57,0
82,472119.5519,6369593.169,0
83,472520.5548,6369933.239,0
84,472536.4766,6369924.68,0
85,472533.7816,6369924.973,0
86,472538.3892,6369922.819,0
87,472530.8231,6369925.22,0
88,472527.1101,6369923.266,0
89,472522.9356,6369923.685,0
90,472518.966,6369927.249,0
91,472545.482,6369930.847,0
92,472546.081,6369929.483,0
93,472540.9995,6369923.375,0
94,472543.4639,6369927.138,0
95,472543.4893,6369926.206,0
96,472544.3397,6369927.836,0
97,472545.2961,6369928.659,0
98,472542.7273,6369925.307,0
99,472542.6827,6369923.609,0
100,472547.6766,6369931.432,0
101,472547.4655,6369933.063,0
102,472534.4873,6369942.915,0
103,472540.1929,6369942.75,0
104,472528.7208,6369943.036,0
105,472523.6016,6369939.658,0
106,472517.6109,6369937.491,0
107,472547.8224,6369935.524,0
108,472543.3453,6369940.384,0
109,472546.4017,6369937.564,0
110,472129.323,6369386.656,0
111,472128.4507,6369336.637,0
112,472143.8795,6369203.339,0
113,472178.2865,6369166.895,0
114,472125.968,6369287.155,0
115,472152.6402,6369245.807,0
116,472135.4178,6369554.442,0
117,472152.8915,6369508.542,0
118,472163.6935,6369416.076,0
119,472159.9783,6369462.66,0
120,472155.9748,6369627.403,0
121,472162.9783,6369585.098,0
122,472507.4041,6369939.09,0
123,472514.4445,6369932.153,0
124,472513.7835,6369925.983,0
125,472499.7851,6369933.499,0
126,472492.8865,6369944.067,0
127,472540.0271,6369921.534,0
128,472534.7116,6369922.427,0
129,472537.1047,6369919.494,0
130,472530.3071,6369920.55,0
131,472525.9276,6369918.848,0
132,472518.5057,6369920.118,0
133,472546.5234,6369928.276,0
134,472547.1496,6369929.874,0
135,472542.1083,6369921.569,0
136,472544.3922,6369925.974,0
137,472545.9132,6369926.703,0
138,472544.3819,6369923.586,0
139,472548.9912,6369930.12,0
140,472550.5513,6369932.633,0
141,472543.9666,6369944.494,0
142,472532.9871,6369946.917,0
143,472537.4409,6369946.305,0
144,472526.9222,6369949.298,0
145,472517.7404,6369946.496,0
146,472509.112,6369947.622,0
147,472501.9922,6369952.625,0
148,472553.0015,6369933.941,0
149,472550.7221,6369935.528,0
150,472549.1786,6369937.983,0
